Order,State,"12 or Older Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
1,Total U.S.,"8,204","7,851","8,572",788,728,852,"2,556","2,433","2,685","4,859","4,561","5,177","7,416","7,074","7,774"
2,Northeast,"1,426","1,310","1,552",116,103,132,465,426,508,845,746,956,"1,310","1,197","1,433"
3,Midwest,"1,710","1,587","1,842",173,155,193,548,506,593,989,886,"1,104","1,537","1,419","1,665"
4,South,"2,728","2,550","2,919",275,247,306,851,789,918,"1,602","1,451","1,768","2,453","2,283","2,635"
5,West,"2,339","2,165","2,527",223,196,254,692,637,751,"1,424","1,272","1,593","2,116","1,947","2,300"
6,Alabama,125,98,159,9,7,13,39,31,49,77,55,106,116,90,149
7,Alaska,22,17,27,2,2,3,6,5,8,13,10,18,20,15,25
8,Arizona,191,150,242,20,15,27,61,47,78,110,79,153,171,133,220
9,Arkansas,65,50,85,7,5,9,21,16,27,38,26,54,58,44,77
10,California,"1,204","1,070","1,353",110,91,133,356,313,405,737,623,872,"1,093",964,"1,240"
11,Colorado,240,195,296,20,15,28,69,55,85,151,113,201,220,176,274
12,Connecticut,83,65,107,7,5,10,31,24,39,46,31,66,76,58,100
13,Delaware,28,22,35,2,2,3,8,6,10,17,12,24,25,19,32
14,District of Columbia,30,24,38,1,1,2,8,6,10,21,15,28,28,22,36
15,Florida,459,392,537,45,36,55,133,113,156,281,224,352,414,350,490
16,Georgia,218,176,269,22,17,29,72,57,91,124,92,168,196,156,246
17,Hawaii,36,28,47,3,2,4,9,7,12,24,17,34,33,25,44
18,Idaho,39,30,50,5,4,7,12,9,15,22,15,31,34,26,44
19,Illinois,326,274,387,34,27,43,103,86,122,189,146,243,292,242,350
20,Indiana,195,155,245,19,14,25,60,47,76,116,85,159,176,138,224
21,Iowa,76,60,96,8,6,11,24,18,30,44,31,61,67,52,87
22,Kansas,61,47,79,7,5,9,22,17,28,33,22,48,54,41,72
23,Kentucky,117,92,149,11,8,15,31,24,40,75,55,103,106,82,136
24,Louisiana,109,84,140,9,6,12,30,23,39,70,50,97,100,76,130
25,Maine,42,33,54,3,3,5,12,9,15,27,19,37,39,30,50
26,Maryland,138,109,174,14,10,18,47,37,60,77,54,109,124,96,160
27,Massachusetts,201,158,254,16,12,21,69,54,88,116,84,160,185,144,237
28,Michigan,234,197,279,23,18,29,85,71,101,127,96,166,211,175,255
29,Minnesota,131,103,166,15,11,20,41,32,53,74,53,103,116,89,149
30,Mississippi,65,50,84,6,5,8,19,14,24,40,28,57,59,45,77
31,Missouri,146,115,185,15,11,20,46,36,59,85,61,118,131,102,168
32,Montana,31,25,39,3,2,4,9,7,11,19,14,26,28,22,36
33,Nebraska,40,32,52,4,3,6,15,12,19,21,15,31,36,28,47
34,Nevada,112,89,141,11,8,15,28,22,36,73,54,99,101,79,129
35,New Hampshire,34,27,44,3,2,4,11,9,15,20,14,28,31,24,40
36,New Jersey,200,162,248,17,13,23,67,54,83,116,86,158,183,146,230
37,New Mexico,51,40,66,7,5,9,16,13,21,28,19,41,44,34,58
38,New York,498,427,581,39,32,49,157,134,184,301,242,375,459,390,540
39,North Carolina,250,203,309,25,19,32,81,66,99,145,107,194,226,181,282
40,North Dakota,19,15,24,2,1,2,7,5,8,10,7,15,17,13,22
41,Ohio,339,288,399,31,25,39,99,83,117,209,166,264,308,259,366
42,Oklahoma,92,72,118,10,7,14,28,22,37,54,38,76,82,63,107
43,Oregon,129,102,164,13,10,17,36,28,46,80,58,111,116,90,150
44,Pennsylvania,317,268,376,26,21,33,100,84,119,191,150,243,291,243,348
45,Rhode Island,28,22,35,2,2,3,10,8,13,15,11,21,25,20,32
46,South Carolina,101,77,131,11,8,15,31,24,41,58,40,84,89,67,119
47,South Dakota,17,13,22,2,2,3,6,4,8,9,6,14,15,11,20
48,Tennessee,160,125,204,16,12,21,45,35,58,99,72,137,144,111,187
49,Texas,519,440,611,63,49,79,173,144,208,283,222,360,456,382,543
50,Utah,73,58,92,8,6,11,27,21,35,38,27,52,65,51,83
51,Vermont,22,17,27,2,1,2,7,6,9,13,9,17,20,16,25
52,Virginia,211,172,259,20,15,26,72,58,89,119,89,159,191,154,237
53,Washington,199,155,256,19,14,25,59,47,75,121,86,171,181,139,236
54,West Virginia,42,33,54,4,3,6,13,10,17,25,18,35,38,29,49
55,Wisconsin,127,98,163,13,9,17,42,32,54,72,50,102,114,86,149
56,Wyoming,11,8,14,1,1,2,4,3,5,6,4,8,9,7,12
