Order,State,"12 or Older Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
1,Total U.S.,"29,637","28,904","30,385","1,748","1,662","1,837","7,639","7,422","7,859","20,251","19,590","20,931","27,889","27,167","28,628"
2,Northeast,"5,455","5,199","5,725",293,268,321,"1,447","1,363","1,534","3,715","3,476","3,970","5,162","4,910","5,427"
3,Midwest,"5,884","5,630","6,146",351,323,380,"1,619","1,530","1,712","3,915","3,678","4,164","5,534","5,286","5,790"
4,South,"9,235","8,880","9,603",592,546,641,"2,415","2,278","2,559","6,228","5,887","6,587","8,643","8,297","9,003"
5,West,"9,063","8,682","9,455",512,469,558,"2,157","2,041","2,277","6,393","6,032","6,772","8,550","8,175","8,938"
6,Alabama,356,299,422,22,17,28,93,78,109,242,193,301,334,280,398
7,Alaska,101,89,114,5,4,6,22,19,25,74,64,86,96,85,108
8,Arizona,665,563,783,34,26,45,159,134,187,472,382,581,631,532,746
9,Arkansas,211,176,253,14,11,18,49,41,60,148,118,185,198,163,238
10,California,"4,459","4,179","4,754",267,233,305,"1,106","1,022","1,193","3,086","2,828","3,365","4,192","3,917","4,482"
11,Colorado,836,741,941,42,34,53,203,180,227,591,506,687,794,700,896
12,Connecticut,378,323,440,20,16,25,104,90,120,253,206,310,358,305,418
13,Delaware,101,87,116,6,4,7,26,22,29,69,57,84,95,82,110
14,District of Columbia,98,86,112,3,2,4,27,23,31,69,58,81,95,83,109
15,Florida,"1,848","1,688","2,025",93,79,110,420,381,461,"1,335","1,184","1,503","1,755","1,597","1,930"
16,Georgia,804,705,914,52,42,65,217,188,248,535,449,635,751,655,859
17,Hawaii,117,99,137,6,5,8,23,19,27,88,72,107,111,94,131
18,Idaho,125,105,148,9,7,12,33,28,40,82,66,103,116,97,138
19,Illinois,"1,107",998,"1,226",69,58,83,284,253,318,754,657,863,"1,038",932,"1,155"
20,Indiana,646,557,746,40,32,51,189,162,218,416,342,505,605,520,702
21,Iowa,176,146,212,14,11,18,57,47,69,105,81,136,162,133,197
22,Kansas,178,147,216,12,9,16,49,40,60,117,91,150,167,136,203
23,Kentucky,363,310,423,21,16,27,88,74,103,254,208,309,342,290,401
24,Louisiana,296,249,351,18,14,24,86,72,103,191,152,240,278,232,331
25,Maine,205,181,232,10,8,12,43,38,48,153,130,179,195,171,222
26,Maryland,556,477,646,32,25,40,156,134,180,368,301,449,524,447,612
27,Massachusetts,887,777,"1,009",46,37,57,245,212,280,596,502,704,840,733,960
28,Michigan,"1,172","1,075","1,276",56,47,67,316,288,345,800,712,897,"1,116","1,021","1,218"
29,Minnesota,469,400,548,29,22,37,128,108,150,312,255,382,440,374,516
30,Mississippi,193,162,230,14,11,18,54,45,64,126,100,158,180,150,215
31,Missouri,460,392,538,27,21,35,130,110,152,302,245,372,433,367,509
32,Montana,134,117,153,7,6,9,33,29,37,94,79,111,127,110,145
33,Nebraska,134,113,157,11,8,14,45,38,53,78,61,99,123,103,146
34,Nevada,412,360,471,22,18,28,89,78,101,301,253,355,390,339,447
35,New Hampshire,166,144,191,8,6,10,42,36,49,116,96,139,158,136,183
36,New Jersey,676,590,775,45,36,57,194,167,223,437,362,526,631,547,727
37,New Mexico,217,187,252,16,13,20,51,43,59,150,123,182,201,171,235
38,New York,"1,827","1,673","1,993",97,83,114,497,452,545,"1,233","1,092","1,391","1,730","1,579","1,893"
39,North Carolina,799,704,907,54,44,67,207,181,236,538,454,635,745,652,849
40,North Dakota,48,40,56,3,2,3,16,13,19,29,23,37,45,38,54
41,Ohio,"1,004",910,"1,107",57,48,69,264,237,294,682,599,776,947,855,"1,048"
42,Oklahoma,326,276,384,19,14,24,80,67,95,227,184,279,307,259,364
43,Oregon,671,598,751,32,26,39,136,119,153,504,437,578,639,568,717
44,Pennsylvania,"1,069",962,"1,188",56,46,67,256,227,288,758,660,868,"1,014",908,"1,131"
45,Rhode Island,140,121,161,6,5,8,38,33,43,96,80,115,134,116,154
46,South Carolina,393,330,467,25,19,32,93,77,110,276,221,343,368,307,440
47,South Dakota,46,37,56,4,3,5,14,11,16,29,22,37,42,34,52
48,Tennessee,499,419,591,29,22,38,125,104,150,344,277,426,469,393,559
49,Texas,"1,688","1,523","1,867",148,124,176,484,427,546,"1,057",918,"1,216","1,541","1,382","1,713"
50,Utah,164,135,196,14,11,19,59,48,72,90,70,116,149,123,180
51,Vermont,108,96,121,5,4,6,29,26,32,74,63,86,102,91,115
52,Virginia,559,486,642,34,27,43,176,152,203,349,288,421,525,454,606
53,Washington,"1,127",992,"1,276",54,43,67,235,206,266,838,715,977,"1,073",941,"1,219"
54,West Virginia,145,123,171,9,7,11,36,31,43,100,81,124,137,115,162
55,Wisconsin,445,377,524,29,23,37,127,108,150,289,231,359,416,350,492
56,Wyoming,35,29,42,3,2,3,10,8,12,23,18,29,33,27,39
