Order,State,"12 or Older  Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older  Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
1,Total U.S.,"14,661","14,199","15,137",407,365,454,"3,278","3,143","3,418","10,976","10,547","11,421","14,254","13,795","14,727"
2,Northeast,"2,525","2,353","2,709",67,57,77,588,543,637,"1,870","1,714","2,039","2,458","2,288","2,641"
3,Midwest,"3,173","2,995","3,361",91,79,104,751,704,800,"2,332","2,171","2,504","3,082","2,906","3,269"
4,South,"4,945","4,691","5,212",139,120,161,"1,077","1,007","1,151","3,729","3,498","3,975","4,806","4,554","5,071"
5,West,"4,018","3,772","4,279",111,93,131,862,798,931,"3,045","2,819","3,288","3,907","3,664","4,166"
6,Alabama,219,179,267,6,4,8,46,37,57,167,132,210,213,174,261
7,Alaska,41,35,49,1,1,2,9,7,11,31,26,39,40,34,48
8,Arizona,289,233,358,10,7,14,68,53,85,212,164,273,280,224,348
9,Arkansas,122,99,151,4,3,5,26,20,32,93,73,118,119,96,147
10,California,"2,079","1,882","2,295",54,41,71,439,388,496,"1,586","1,406","1,788","2,025","1,830","2,239"
11,Colorado,392,330,465,9,6,13,82,67,99,302,247,367,383,322,455
12,Connecticut,189,155,230,5,3,7,46,38,56,138,109,175,184,151,225
13,Delaware,51,42,61,1,1,1,10,8,12,39,31,49,50,41,60
14,District of Columbia,54,45,65,0,0,1,10,8,13,43,35,53,53,44,64
15,Florida,721,623,835,18,13,25,139,119,163,564,474,670,703,606,815
16,Georgia,397,335,471,12,8,17,87,71,107,298,244,364,385,324,458
17,Hawaii,69,56,83,2,1,3,15,12,18,52,41,65,67,55,81
18,Idaho,79,65,96,3,2,4,19,15,23,58,46,73,76,62,93
19,Illinois,590,513,677,15,11,20,129,110,152,445,377,525,575,499,661
20,Indiana,313,258,378,9,7,13,75,61,93,228,181,286,303,249,368
21,Iowa,152,125,183,5,4,8,42,34,51,105,83,132,146,120,177
22,Kansas,124,101,150,5,3,6,33,27,41,86,67,109,119,97,145
23,Kentucky,190,157,229,6,4,8,42,34,52,142,114,177,184,152,223
24,Louisiana,214,175,262,5,4,7,41,32,51,168,134,212,209,170,256
25,Maine,66,54,81,2,1,3,13,11,16,51,40,65,64,52,79
26,Maryland,246,200,303,6,4,9,51,40,64,189,149,239,240,194,296
27,Massachusetts,363,300,438,8,6,12,93,76,114,261,208,327,355,293,429
28,Michigan,486,425,555,12,9,16,112,97,129,362,307,425,473,413,542
29,Minnesota,266,218,323,7,5,11,65,53,80,193,152,244,258,211,315
30,Mississippi,117,95,144,3,2,5,25,20,31,89,70,113,114,92,140
31,Missouri,267,219,325,8,6,12,59,48,74,199,158,250,258,211,316
32,Montana,67,56,80,2,1,3,15,12,18,50,40,62,65,54,78
33,Nebraska,90,74,109,3,2,4,24,19,29,64,50,80,87,72,106
34,Nevada,155,125,191,4,3,6,29,23,36,121,95,154,150,122,186
35,New Hampshire,76,62,93,2,1,3,20,16,25,54,42,69,74,61,91
36,New Jersey,326,272,391,10,7,14,72,59,89,244,196,301,316,263,380
37,New Mexico,93,76,115,3,2,4,23,18,28,68,53,87,91,73,112
38,New York,855,753,971,22,17,28,188,163,217,645,552,753,834,732,949
39,North Carolina,445,374,528,12,8,16,93,77,112,341,278,416,433,364,516
40,North Dakota,40,33,48,1,1,2,12,10,14,27,21,34,39,32,47
41,Ohio,505,439,579,14,11,19,114,97,133,377,319,444,490,425,564
42,Oklahoma,177,145,214,5,4,7,42,34,52,130,103,163,172,141,209
43,Oregon,250,208,298,7,5,10,51,42,62,192,156,235,243,202,291
44,Pennsylvania,552,480,635,15,12,20,131,111,153,406,343,481,537,465,619
45,Rhode Island,59,49,72,1,1,2,15,12,19,43,34,54,58,48,70
46,South Carolina,221,178,272,5,4,8,46,37,58,169,132,215,215,173,266
47,South Dakota,43,35,51,1,1,2,11,9,13,30,24,38,41,34,50
48,Tennessee,276,225,338,8,6,12,63,50,78,205,161,260,268,218,329
49,Texas,"1,074",945,"1,218",36,27,48,259,223,300,779,666,911,"1,038",911,"1,182"
50,Utah,106,85,131,5,3,7,31,24,40,70,53,91,101,80,126
51,Vermont,37,31,45,1,1,1,9,7,11,27,21,34,36,30,44
52,Virginia,358,302,424,10,7,13,82,68,98,267,218,326,349,293,414
53,Washington,368,300,449,11,8,15,75,60,93,282,223,355,357,290,438
54,West Virginia,64,51,79,2,1,3,15,12,19,46,35,60,61,49,77
55,Wisconsin,300,250,360,8,6,12,74,61,90,217,175,270,292,242,351
56,Wyoming,31,25,37,1,1,2,7,6,9,22,18,28,30,24,36
