Order,State,"12 or Older Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
1,Total U.S.,"7,420","7,084","7,772",745,686,808,"2,401","2,279","2,529","4,275","3,994","4,575","6,676","6,350","7,017"
2,Northeast,"1,301","1,190","1,422",111,97,126,424,384,467,767,673,874,"1,190","1,083","1,309"
3,Midwest,"1,512","1,405","1,626",159,142,177,506,466,550,847,757,946,"1,353","1,250","1,464"
4,South,"2,457","2,294","2,631",261,232,293,805,745,869,"1,391","1,251","1,545","2,196","2,040","2,364"
5,West,"2,151","1,979","2,337",214,187,245,666,605,733,"1,271","1,123","1,437","1,937","1,769","2,120"
6,Alabama,109,87,137,8,6,11,36,28,47,64,47,89,101,79,129
7,Alaska,20,16,25,2,1,3,6,5,8,12,9,16,18,15,23
8,Arizona,168,134,211,20,15,26,57,44,75,92,65,128,149,116,190
9,Arkansas,60,47,75,6,5,8,20,15,27,33,24,46,54,42,69
10,California,"1,132","1,003","1,278",107,88,131,347,300,401,678,570,806,"1,025",899,"1,168"
11,Colorado,219,178,269,19,14,26,67,54,83,133,99,178,200,161,249
12,Connecticut,81,63,104,7,5,9,28,22,37,46,32,65,74,57,96
13,Delaware,24,19,30,2,2,3,7,5,9,15,10,20,22,17,28
14,District of Columbia,25,20,32,1,1,2,7,5,9,17,12,23,24,18,30
15,Florida,423,359,499,44,36,54,124,104,147,256,201,325,379,317,454
16,Georgia,201,164,246,21,16,28,71,56,90,109,82,145,180,144,223
17,Hawaii,31,24,40,2,2,3,8,6,11,20,15,28,29,22,38
18,Idaho,34,27,43,5,4,6,12,9,16,17,12,24,30,23,38
19,Illinois,287,240,343,32,25,41,92,75,111,164,126,212,255,210,310
20,Indiana,170,136,211,16,12,22,57,44,74,96,71,130,153,121,193
21,Iowa,68,53,86,7,6,10,22,17,30,38,27,53,60,46,78
22,Kansas,53,41,69,6,5,8,20,15,27,27,19,39,47,36,62
23,Kentucky,95,76,120,9,7,13,27,20,36,59,44,81,86,67,110
24,Louisiana,97,75,126,8,6,11,28,21,37,62,44,87,90,68,117
25,Maine,35,28,44,3,2,4,11,9,14,21,16,29,32,25,41
26,Maryland,128,101,162,14,10,18,46,35,60,68,48,96,114,88,148
27,Massachusetts,179,142,225,14,11,19,59,46,77,105,76,144,165,129,210
28,Michigan,213,180,252,22,17,27,82,68,99,109,84,142,191,159,229
29,Minnesota,126,100,159,14,11,19,39,30,51,73,52,101,112,86,144
30,Mississippi,57,45,73,5,4,7,18,14,24,34,24,47,52,40,67
31,Missouri,130,103,163,13,10,17,41,31,54,75,55,103,117,91,149
32,Montana,27,22,34,3,2,4,8,6,10,16,12,22,25,19,31
33,Nebraska,40,31,50,4,3,6,15,11,19,21,15,30,36,28,46
34,Nevada,97,76,124,10,7,13,28,21,36,60,43,83,87,67,113
35,New Hampshire,29,23,37,3,2,4,10,8,14,16,11,23,26,20,34
36,New Jersey,183,148,227,17,13,23,64,50,81,102,74,139,166,132,209
37,New Mexico,47,38,59,7,5,9,16,12,20,24,17,35,40,31,52
38,New York,473,404,554,38,30,47,146,122,174,289,231,362,435,368,514
39,North Carolina,233,193,282,24,19,31,78,63,97,131,100,172,209,170,256
40,North Dakota,16,13,21,1,1,2,6,4,8,9,6,13,15,12,19
41,Ohio,278,236,327,28,22,35,90,75,107,160,126,203,250,209,298
42,Oklahoma,79,62,100,9,7,13,25,19,33,44,32,62,69,53,90
43,Oregon,108,86,134,12,9,16,32,24,41,64,47,87,96,75,122
44,Pennsylvania,276,232,328,24,19,31,89,73,107,163,127,208,252,209,303
45,Rhode Island,26,21,33,2,2,3,9,7,12,14,10,20,24,18,31
46,South Carolina,90,70,116,11,8,14,29,21,39,51,36,72,79,60,104
47,South Dakota,16,12,20,2,1,3,6,4,7,8,6,12,14,11,18
48,Tennessee,133,104,171,14,10,18,38,28,51,82,58,114,119,91,156
49,Texas,486,412,574,60,47,78,171,141,208,255,199,326,426,356,509
50,Utah,67,54,85,8,6,11,26,20,34,33,24,46,59,46,76
51,Vermont,18,14,23,2,1,2,6,5,8,10,7,14,16,13,21
52,Virginia,180,148,220,19,15,25,68,55,85,93,68,127,161,130,200
53,Washington,189,149,239,17,13,23,55,42,72,116,84,160,171,133,221
54,West Virginia,34,27,43,4,3,5,11,9,15,19,13,27,31,24,40
55,Wisconsin,116,91,147,12,9,17,37,28,49,66,47,93,104,80,134
56,Wyoming,10,8,12,1,1,2,3,3,5,5,3,7,8,6,11
