Order,State,"12 or Older  Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older  Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
1,Total U.S.,"45,865","44,919","46,825","3,197","3,081","3,316","11,890","11,634","12,149","30,778","29,935","31,639","42,668","41,738","43,614"
2,Northeast,"8,458","8,140","8,788",529,494,567,"2,275","2,189","2,361","5,654","5,353","5,971","7,929","7,616","8,253"
3,Midwest,"9,324","9,003","9,652",658,621,697,"2,554","2,467","2,641","6,112","5,811","6,425","8,666","8,352","8,986"
4,South,"14,557","14,077","15,051","1,080","1,019","1,145","3,842","3,710","3,976","9,634","9,169","10,121","13,476","13,012","13,955"
5,West,"13,526","13,076","13,985",929,870,991,"3,220","3,105","3,336","9,377","8,950","9,818","12,597","12,157","13,047"
6,Alabama,605,528,691,36,29,44,152,133,172,417,350,495,569,494,652
7,Alaska,146,133,160,10,9,12,29,26,32,106,94,119,136,123,149
8,Arizona,968,850,"1,098",71,58,87,230,201,262,666,563,783,896,783,"1,022"
9,Arkansas,338,297,384,27,22,32,82,70,95,230,194,271,312,272,357
10,California,"6,641","6,306","6,988",477,433,526,"1,687","1,598","1,777","4,476","4,168","4,803","6,163","5,836","6,504"
11,Colorado,"1,265","1,154","1,383",76,64,91,286,262,310,903,801,"1,013","1,189","1,081","1,303"
12,Connecticut,583,519,652,38,31,45,168,152,185,377,321,441,545,483,613
13,Delaware,149,132,168,10,8,12,38,34,43,101,86,118,139,123,157
14,District of Columbia,164,148,180,6,5,7,43,39,48,115,101,130,158,143,174
15,Florida,"2,705","2,516","2,910",174,154,196,641,597,686,"1,890","1,712","2,085","2,531","2,346","2,731"
16,Georgia,"1,310","1,188","1,442",97,82,115,340,304,377,873,766,991,"1,212","1,094","1,341"
17,Hawaii,182,161,206,11,9,14,36,31,40,135,116,157,171,150,194
18,Idaho,205,180,232,19,15,22,53,46,60,133,111,157,186,162,213
19,Illinois,"1,748","1,613","1,893",133,115,154,445,409,483,"1,170","1,047","1,304","1,615","1,483","1,756"
20,Indiana,928,829,"1,036",67,56,80,259,230,289,603,518,698,861,766,965
21,Iowa,327,285,374,29,23,35,99,86,114,199,165,240,299,259,344
22,Kansas,349,306,397,28,23,33,96,84,109,226,189,269,322,280,368
23,Kentucky,553,489,624,39,32,47,137,120,155,378,322,441,515,453,583
24,Louisiana,464,403,533,31,25,38,129,113,147,304,252,366,433,375,500
25,Maine,289,262,318,16,13,19,59,54,64,214,189,242,273,247,302
26,Maryland,813,721,915,55,46,66,237,211,263,521,442,613,758,669,857
27,Massachusetts,"1,318","1,193","1,451",77,64,91,367,333,402,874,764,995,"1,241","1,120","1,371"
28,Michigan,"1,765","1,650","1,887",101,88,115,475,445,506,"1,189","1,083","1,303","1,664","1,551","1,783"
29,Minnesota,781,694,877,55,45,67,220,196,246,506,430,593,726,642,819
30,Mississippi,297,258,339,24,20,29,78,68,89,195,162,234,273,236,314
31,Missouri,763,674,861,53,44,64,204,181,229,506,429,594,710,624,805
32,Montana,180,161,201,12,10,14,44,40,49,124,107,142,168,150,188
33,Nebraska,227,200,258,22,18,26,73,65,81,133,110,160,206,179,235
34,Nevada,613,550,682,39,33,46,123,111,135,451,393,515,574,512,641
35,New Hampshire,253,226,281,15,13,18,64,58,71,173,150,200,238,212,265
36,New Jersey,"1,033",927,"1,149",78,65,92,304,274,337,651,559,756,955,853,"1,068"
37,New Mexico,358,319,400,31,26,36,77,68,86,250,215,289,327,289,368
38,New York,"2,871","2,684","3,070",177,157,198,782,733,832,"1,913","1,741","2,100","2,695","2,512","2,889"
39,North Carolina,"1,316","1,192","1,451",101,85,120,329,298,363,885,774,"1,009","1,215","1,095","1,345"
40,North Dakota,78,69,89,5,4,6,26,23,30,47,39,56,73,64,83
41,Ohio,"1,556","1,437","1,684",106,92,121,430,399,462,"1,021",914,"1,139","1,451","1,334","1,575"
42,Oklahoma,497,438,563,36,29,43,134,118,151,328,277,388,462,404,525
43,Oregon,969,883,"1,061",55,47,64,196,178,215,718,639,803,914,830,"1,004"
44,Pennsylvania,"1,752","1,618","1,894",109,95,125,436,399,473,"1,207","1,084","1,341","1,642","1,512","1,782"
45,Rhode Island,212,191,235,12,10,14,55,50,61,145,126,166,200,180,223
46,South Carolina,620,541,710,43,35,52,139,120,160,439,369,519,578,501,664
47,South Dakota,80,69,92,7,6,9,24,21,28,48,40,59,73,63,84
48,Tennessee,780,682,889,55,45,67,203,177,230,523,438,621,725,630,831
49,Texas,"2,862","2,656","3,080",271,238,309,817,752,886,"1,774","1,593","1,973","2,591","2,394","2,800"
50,Utah,314,276,356,32,26,39,104,90,120,178,148,213,282,246,323
51,Vermont,148,134,162,9,7,10,38,35,42,100,88,114,139,126,153
52,Virginia,866,774,967,61,51,73,287,258,317,518,440,609,805,717,903
53,Washington,"1,624","1,469","1,790",89,75,107,336,304,368,"1,199","1,057","1,353","1,535","1,383","1,697"
54,West Virginia,217,190,246,15,12,18,58,51,65,144,121,171,201,176,230
55,Wisconsin,720,634,814,53,44,64,201,178,225,466,392,551,667,584,758
56,Wyoming,61,53,70,6,5,7,18,16,20,38,31,46,56,48,64
