Order,State,"12 or Older  Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older  Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
1,Total U.S.,"20,331","19,774","20,903","1,017",949,"1,090","4,944","4,784","5,109","14,369","13,865","14,891","19,314","18,768","19,874"
2,Northeast,"3,505","3,310","3,712",150,135,167,912,853,975,"2,442","2,262","2,637","3,355","3,162","3,560"
3,Midwest,"4,322","4,115","4,537",224,205,246,"1,072","1,012","1,135","3,025","2,832","3,230","4,097","3,895","4,309"
4,South,"6,870","6,562","7,191",357,324,393,"1,655","1,558","1,756","4,858","4,569","5,164","6,513","6,210","6,829"
5,West,"5,634","5,340","5,943",285,253,321,"1,305","1,223","1,392","4,044","3,769","4,337","5,349","5,058","5,655"
6,Alabama,306,257,364,12,9,15,68,56,81,227,183,280,294,246,351
7,Alaska,57,49,66,3,2,4,13,11,16,41,34,49,54,46,63
8,Arizona,417,350,495,27,21,35,106,88,127,283,227,353,390,325,466
9,Arkansas,171,143,204,9,7,11,38,31,46,125,100,154,162,134,195
10,California,"2,915","2,682","3,166",137,115,164,673,608,744,"2,105","1,893","2,338","2,778","2,547","3,026"
11,Colorado,537,465,619,24,18,31,124,106,144,390,325,466,514,443,595
12,Connecticut,245,208,288,10,8,13,72,61,84,163,132,202,235,199,277
13,Delaware,69,58,82,3,2,4,16,13,19,50,41,62,66,56,79
14,District of Columbia,71,61,83,2,1,2,15,13,18,54,45,65,70,59,81
15,Florida,"1,062",948,"1,192",56,46,67,241,213,273,766,659,889,"1,007",894,"1,135"
16,Georgia,549,470,639,30,24,38,135,114,159,384,316,465,519,442,608
17,Hawaii,93,78,111,4,3,5,20,17,24,70,56,86,90,75,107
18,Idaho,107,91,125,7,5,9,25,21,30,75,61,91,100,84,118
19,Illinois,819,727,922,42,33,53,193,169,220,584,501,680,777,686,879
20,Indiana,448,381,526,23,18,28,109,91,131,316,258,386,425,359,502
21,Iowa,205,173,241,12,10,16,54,45,64,139,112,171,192,162,228
22,Kansas,166,140,197,10,7,12,45,37,55,111,89,138,157,131,187
23,Kentucky,280,238,329,14,11,18,59,49,71,207,170,252,266,225,314
24,Louisiana,291,245,344,12,9,15,58,48,71,221,179,270,279,234,332
25,Maine,100,84,118,4,3,5,21,18,25,74,60,91,96,80,114
26,Maryland,340,284,406,17,13,21,87,72,105,236,188,295,323,268,389
27,Massachusetts,503,431,585,20,16,25,139,117,165,344,282,417,483,413,564
28,Michigan,615,548,690,30,25,36,162,143,182,424,363,493,585,519,659
29,Minnesota,346,291,410,20,16,26,87,72,104,238,191,297,325,271,389
30,Mississippi,166,139,199,8,6,10,37,30,45,121,97,151,158,131,190
31,Missouri,377,321,442,19,15,24,88,74,104,271,222,329,358,304,422
32,Montana,87,74,101,4,3,5,18,15,22,64,53,77,83,70,97
33,Nebraska,116,98,137,6,5,8,31,26,37,79,63,98,110,92,131
34,Nevada,230,195,270,13,10,17,48,40,57,169,138,206,217,183,257
35,New Hampshire,100,85,118,4,3,5,28,23,33,68,55,85,96,80,114
36,New Jersey,482,413,562,22,18,29,126,107,148,333,273,405,459,392,538
37,New Mexico,131,110,155,9,7,12,34,28,41,88,70,110,122,102,146
38,New York,"1,184","1,062","1,318",52,44,62,295,261,333,836,727,961,"1,131","1,012","1,264"
39,North Carolina,607,526,699,31,25,39,146,125,170,430,358,515,576,496,667
40,North Dakota,53,45,62,3,2,4,15,12,18,35,29,43,50,43,59
41,Ohio,747,668,834,38,31,46,178,158,201,531,460,613,709,632,795
42,Oklahoma,248,210,291,14,11,18,59,49,70,175,142,214,234,197,277
43,Oregon,339,292,394,17,14,21,73,61,86,250,207,300,322,275,377
44,Pennsylvania,760,675,856,32,26,39,195,172,221,533,456,622,728,643,824
45,Rhode Island,78,66,92,3,3,4,22,19,26,53,43,65,75,63,89
46,South Carolina,278,232,333,15,12,19,63,52,76,200,160,250,263,218,317
47,South Dakota,53,45,63,3,3,4,13,11,16,37,29,45,50,42,59
48,Tennessee,395,332,468,21,16,26,90,74,109,284,231,349,375,313,447
49,Texas,"1,447","1,298","1,611",87,71,106,389,340,444,971,842,"1,119","1,360","1,214","1,521"
50,Utah,158,133,187,12,9,16,47,39,58,99,79,124,146,122,175
51,Vermont,53,46,62,2,2,3,14,11,16,37,31,46,51,43,60
52,Virginia,496,428,574,23,19,29,131,111,152,342,283,413,473,406,550
53,Washington,527,444,623,26,21,34,115,96,137,385,312,474,500,419,596
54,West Virginia,94,79,112,6,4,7,24,20,28,65,52,82,89,73,107
55,Wisconsin,377,318,445,19,15,24,97,81,115,261,210,323,358,300,425
56,Wyoming,36,31,43,2,2,3,8,7,10,26,21,32,34,28,41
